timestamp,value
2015-07-10 14:24:00,564
2015-07-10 14:38:00,730
2015-07-10 14:48:00,770
2015-07-10 15:03:00,910
2015-07-10 15:22:00,1035
2015-07-10 15:32:00,1065
2015-07-10 15:42:00,953
2015-07-10 15:52:00,1005
2015-07-10 16:02:00,996
2015-07-10 16:12:00,901
2015-07-10 16:22:00,939
2015-07-10 16:32:00,988
2015-07-10 16:42:00,1020
2015-07-10 16:52:00,876
2015-07-10 17:02:00,870
2015-07-10 17:12:00,809
2015-07-10 17:22:00,884
2015-07-10 17:32:00,926
2015-07-10 17:42:00,829
2015-07-10 18:02:00,712
2015-07-10 18:12:00,624
2015-07-10 18:22:00,632
2015-07-10 18:32:00,596
2015-07-10 18:42:00,510
2015-07-10 18:52:00,526
2015-07-10 19:32:00,99
2015-07-10 19:42:00,85
2015-07-10 20:02:00,85
2015-07-10 20:12:00,87
2015-07-10 20:22:00,93
2015-07-10 20:42:00,57
2015-07-10 21:32:00,101
2015-07-11 10:10:00,177
2015-07-11 10:30:00,221
2015-07-11 11:00:00,332
2015-07-11 11:10:00,338
2015-07-11 11:20:00,263
2015-07-11 11:30:00,304
2015-07-11 11:40:00,358
2015-07-11 11:50:00,385
2015-07-11 12:00:00,397
2015-07-11 12:10:00,426
2015-07-11 12:20:00,461
2015-07-11 12:28:00,418
2015-07-11 12:38:00,448
2015-07-11 12:43:00,432
2015-07-11 12:53:00,416
2015-07-11 12:57:00,425
2015-07-11 13:07:00,439
2015-07-11 13:09:00,423
2015-07-11 13:19:00,370
2015-07-11 13:29:00,404
2015-07-11 13:39:00,387
2015-07-11 14:41:00,185
2015-07-11 15:01:00,184
2015-07-11 16:53:00,104
2015-07-11 17:02:00,108
2015-07-11 17:13:00,121
2015-07-11 17:23:00,120
2015-07-11 17:33:00,127
2015-07-11 18:23:00,52
2015-07-12 10:56:00,93
2015-07-12 12:36:00,151
2015-07-12 12:46:00,161
2015-07-12 12:56:00,160
2015-07-12 13:36:00,177
2015-07-12 15:26:00,193
2015-07-12 19:13:00,119
2015-07-13 09:15:00,143
2015-07-13 09:45:00,151
2015-07-13 12:07:00,138
2015-07-13 12:37:00,143
2015-07-13 12:47:00,146
2015-07-13 14:37:00,173
2015-07-13 15:27:00,226
2015-07-13 15:57:00,206
2015-07-13 16:07:00,243
2015-07-13 16:27:00,238
2015-07-13 16:47:00,294
2015-07-13 17:07:00,226
2015-07-13 17:17:00,209
2015-07-13 17:57:00,222
2015-07-13 18:06:00,136
2015-07-13 18:46:00,129
2015-07-13 18:56:00,133
2015-07-14 09:10:00,182
2015-07-14 09:40:00,253
2015-07-14 09:50:00,218
2015-07-14 10:10:00,216
2015-07-14 10:20:00,203
2015-07-14 13:11:00,143
2015-07-14 14:01:00,103
2015-07-14 14:41:00,162
2015-07-14 14:51:00,180
2015-07-14 15:01:00,223
2015-07-14 15:11:00,282
2015-07-14 15:21:00,262
2015-07-14 15:51:00,289
2015-07-14 16:01:00,260
2015-07-14 16:09:00,271
2015-07-14 16:19:00,248
2015-07-14 16:25:00,234
2015-07-14 17:05:00,309
2015-07-14 17:07:00,319
2015-07-14 17:27:00,266
2015-07-14 17:57:00,207
2015-07-14 18:17:00,198
2015-07-14 18:47:00,223
2015-07-14 18:57:00,250
2015-07-14 19:17:00,193
2015-07-15 09:37:00,144
2015-07-15 11:37:00,121
2015-07-15 12:54:00,104
2015-07-15 14:54:00,161
2015-07-15 15:34:00,178
2015-07-15 16:14:00,161
2015-07-15 16:54:00,204
2015-07-15 17:04:00,195
2015-07-15 17:24:00,189
2015-07-15 17:44:00,214
2015-07-15 18:04:00,204
2015-07-15 18:34:00,220
2015-07-15 18:44:00,219
2015-07-16 11:44:00,154
2015-07-16 14:19:00,118
2015-07-16 14:29:00,124
2015-07-16 14:59:00,174
2015-07-16 15:09:00,232
2015-07-16 15:19:00,316
2015-07-16 15:29:00,340
2015-07-16 15:39:00,398
2015-07-16 15:49:00,401
2015-07-16 15:50:00,392
