timestamp,value
2019/1/1	2512
2019/1/2	6795
2019/1/3	10281
2019/1/4	9817
2019/1/5	7229
2019/1/6	4287
2019/1/7	8288
2019/1/8	10965
2019/1/9	11797
2019/1/10	11908
2019/1/11	10865
2019/1/12	8306
2019/1/13	5205
2019/1/14	9624
2019/1/15	11618
2019/1/16	12822
2019/1/17	13170
2019/1/18	12107
2019/1/19	9527
2019/1/20	6757
2019/1/21	11017
2019/1/22	14075
2019/1/23	14831
2019/1/24	15299
2019/1/25	15386
2019/1/26	13190
2019/1/27	9719
2019/1/28	11491
2019/1/29	11577
2019/1/30	9854
2019/1/31	7077
2019/2/1	3376
2019/2/2	1128
2019/2/3	325
2019/2/4	34
2019/2/5	2
2019/2/6	8
2019/2/7	21
2019/2/8	96
2019/2/9	87
2019/2/10	273
2019/2/11	759
2019/2/12	1583
2019/2/13	2069
2019/2/14	2153
2019/2/15	2210
2019/2/16	1811
2019/2/17	1268
2019/2/18	3780
2019/2/19	5361
2019/2/20	5402
2019/2/21	5902
2019/2/22	5215
2019/2/23	3566
2019/2/24	1937
2019/2/25	5006
2019/2/26	6877
2019/2/27	7323
2019/2/28	8027
2019/3/1	6810
2019/3/2	4429
2019/3/3	2431
2019/3/4	5426
2019/3/5	7557
2019/3/6	7779
2019/3/7	8211
2019/3/8	7327
2019/3/9	4871
2019/3/10	2626
2019/3/11	5383
2019/3/12	7890
2019/3/13	8618
2019/3/14	8630
2019/3/15	8159
2019/3/16	5513
2019/3/17	2806
2019/3/18	6087
2019/3/19	8227
2019/3/20	8963
2019/3/21	9693
2019/3/22	8696
2019/3/23	5762
2019/3/24	3103
2019/3/25	6562
2019/3/26	9413
2019/3/27	9535
2019/3/28	10216
2019/3/29	9183
2019/3/30	6923
2019/3/31	4092
2019/4/1	6635
2019/4/2	9288
2019/4/3	11051
2019/4/4	10742
2019/4/5	4614
2019/4/6	1583
2019/4/7	2232
2019/4/8	5897
2019/4/9	8307
2019/4/10	9680
2019/4/11	10512
2019/4/12	9344
2019/4/13	6196
2019/4/14	3225
2019/4/15	6534
2019/4/16	9068
2019/4/17	10510
2019/4/18	10480
2019/4/19	8987
2019/4/20	6185
2019/4/21	3569
2019/4/22	6763
2019/4/23	9237
2019/4/24	10438
2019/4/25	11495
2019/4/26	10465
2019/4/27	7988
2019/4/28	6759
2019/4/29	10357
2019/4/30	12333
2019/5/1	5810
2019/5/2	2445
2019/5/3	3332
2019/5/4	3070
2019/5/5	3567
2019/5/6	6122
2019/5/7	8372
2019/5/8	10440
2019/5/9	11895
2019/5/10	9540
2019/5/11	6554
2019/5/12	3508
2019/5/13	6738
2019/5/14	9480
2019/5/15	10715
2019/5/16	11514
2019/5/17	10024
2019/5/18	6227
2019/5/19	3472
2019/5/20	6764
2019/5/21	9366
2019/5/22	10394
2019/5/23	11318
2019/5/24	10104
2019/5/25	6571
2019/5/26	3604
2019/5/27	7191
2019/5/28	9824
2019/5/29	11275
2019/5/30	12631
2019/5/31	11212
2019/6/1	6647
2019/6/2	3166
2019/6/3	6740
2019/6/4	9521
2019/6/5	11767
2019/6/6	11707
2019/6/7	5942
2019/6/8	2004
2019/6/9	2945
2019/6/10	6079
2019/6/11	9017
2019/6/12	10488
2019/6/13	11690
2019/6/14	10603
2019/6/15	7358
2019/6/16	3755
2019/6/17	7117
2019/6/18	10130
2019/6/19	11119
2019/6/20	12198
2019/6/21	11055
2019/6/22	7584
2019/6/23	4131
2019/6/24	6940
2019/6/25	10381
2019/6/26	11857
2019/6/27	12537
2019/6/28	11773
2019/6/29	8730
2019/6/30	5038
2019/7/1	7151
2019/7/2	9541
2019/7/3	10494
2019/7/4	11605
2019/7/5	10576
2019/7/6	7038
2019/7/7	3808
2019/7/8	7314
2019/7/9	9838
2019/7/10	10603
2019/7/11	12166
2019/7/12	10911
2019/7/13	7469
2019/7/14	3825
2019/7/15	7432
2019/7/16	10148
2019/7/17	11270
2019/7/18	12199
2019/7/19	10689
2019/7/20	7683
2019/7/21	4050
2019/7/22	7627
2019/7/23	10569
2019/7/24	12174
2019/7/25	13455
2019/7/26	12120
2019/7/27	8096
2019/7/28	4083
2019/7/29	7535
2019/7/30	10769
2019/7/31	8481
2019/8/1	8692
2019/8/2	12668
2019/8/3	9785
2019/8/4	4617
2019/8/5	7610
2019/8/6	10675
2019/8/7	11778
2019/8/8	12620
2019/8/9	11992
2019/8/10	8486
2019/8/11	4194
2019/8/12	7504
2019/8/13	10718
2019/8/14	11735
2019/8/15	12379
2019/8/16	10962
2019/8/17	8062
2019/8/18	4186
2019/8/19	7819
2019/8/20	10698
2019/8/21	12070
2019/8/22	12894
2019/8/23	11582
2019/8/24	8490
2019/8/25	4386
2019/8/26	7844
2019/8/27	11276
2019/8/28	12249
2019/8/29	12984
2019/8/30	12187
2019/8/31	9381
