timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2014-04-01 00:00:00,21.5980110405,0.00464435743789,0,0.0,0.0,0.0
2014-04-01 00:05:00,19.3213920476,0.924638033657,0,0.0,0.0,0.0
2014-04-01 00:10:00,21.399938142,0.0316340276342,0,0.0,0.0,0.0
2014-04-01 00:15:00,18.3739156837,0.976083805783,0,0.0,0.0,0.0
2014-04-01 00:20:00,18.1674987959,0.969106760971,0,0.0,0.0,0.0
2014-04-01 00:25:00,20.0161807325,0.711961076199,0,0.0,0.0,0.0
2014-04-01 00:30:00,18.2386488933,0.957052925588,0,0.0,0.0,0.0
2014-04-01 00:35:00,19.5699592049,0.848813262438,0,0.0,0.0,0.0
2014-04-01 00:40:00,21.5871124675,0.0576130624045,0,0.0,0.0,0.0
2014-04-01 00:45:00,18.9659321448,0.920656922633,0,0.0,0.0,0.0
2014-04-01 00:50:00,20.8239031005,0.291517090581,0,0.0,0.0,0.0
2014-04-01 00:55:00,19.2094615696,0.889521730224,0,0.0,0.0,0.0
2014-04-01 01:00:00,18.179680221,0.933920471551,0,0.0,0.0,0.0
2014-04-01 01:05:00,20.2267623256,0.600950812724,0,0.0,0.0,0.0
2014-04-01 01:10:00,21.3394139621,0.112936214804,0,0.0,0.0,0.0
2014-04-01 01:15:00,19.6378737934,0.799476925905,0,0.0,0.0,0.0
2014-04-01 01:20:00,20.4691753058,0.474134012767,0,0.0,0.0,0.0
2014-04-01 01:25:00,21.6000943906,0.102171338603,0,0.0,0.0,0.0
2014-04-01 01:30:00,21.1587780509,0.163551099517,0,0.0,0.0,0.0
2014-04-01 01:35:00,18.7755055976,0.897041324776,0,0.0,0.0,0.0
2014-04-01 01:40:00,20.9335358375,0.251380305579,0,0.0,0.0,0.0
2014-04-01 01:45:00,20.0075721006,0.667407075841,0,0.0,0.0,0.0
2014-04-01 01:50:00,20.9838672315,0.23008651539,0,0.0,0.0,0.0
2014-04-01 01:55:00,19.9780622021,0.66857598111,0,0.0,0.0,0.0
2014-04-01 02:00:00,18.5118326564,0.897483990075,0,0.0,0.0,0.0
2014-04-01 02:05:00,20.2796377868,0.543998577021,0,0.0,0.0,0.0
2014-04-01 02:10:00,19.9685359696,0.658920114556,0,0.0,0.0,0.0
2014-04-01 02:15:00,20.0716869346,0.615760180783,0,0.0,0.0,0.0
